from,to,action,p(s),frequency
19,106,6,0.04,4
19,106,4,0.08,8
19,106,5,0.02,2
19,392,6,0.01,1
19,92,6,0.01,1
19,92,4,0.02,2
19,31,4,0.09,9
19,31,6,0.06,6
19,31,5,0.01,1
19,332,7,0.01,1
19,235,4,0.01,1
19,65,6,0.01,1
19,65,4,0.01,1
19,507,4,0.01,1
19,507,6,0.01,1
19,835,4,0.01,1
19,519,7,0.01,1
19,1010,5,0.01,1
19,367,6,0.01,1
19,158,3,0.01,1
19,1345,5,0.01,1
19,1345,4,0.01,1
19,440,4,0.01,1
19,399,4,0.01,1
20,20,5,0.27972027972027974,40
20,20,6,0.2867132867132867,41
20,20,4,0.04195804195804196,6
20,22,6,0.06293706293706294,9
20,22,4,0.03496503496503497,5
20,22,5,0.04895104895104895,7
20,18,4,0.013986013986013986,2
20,18,6,0.013986013986013986,2
20,18,5,0.006993006993006993,1
20,115,6,0.006993006993006993,1
20,133,4,0.006993006993006993,1
20,13,5,0.04895104895104895,7
20,13,6,0.006993006993006993,1
20,31,6,0.006993006993006993,1
20,31,4,0.006993006993006993,1
20,31,5,0.006993006993006993,1
20,239,4,0.006993006993006993,1
20,106,6,0.006993006993006993,1
20,321,5,0.006993006993006993,1
20,321,4,0.006993006993006993,1
20,66,6,0.013986013986013986,2
20,66,4,0.006993006993006993,1
20,687,5,0.013986013986013986,2
20,383,3,0.006993006993006993,1
20,383,9,0.006993006993006993,1
20,1177,2,0.006993006993006993,1
20,365,9,0.006993006993006993,1
20,258,6,0.013986013986013986,2
20,447,5,0.006993006993006993,1
20,1753,5,0.006993006993006993,1
21,22,6,0.06327160493827161,41
21,22,5,0.05555555555555555,36
21,22,4,0.021604938271604937,14
21,21,5,0.2762345679012346,179
21,21,4,0.12037037037037036,78
21,21,6,0.2762345679012346,179
21,62,5,0.026234567901234566,17
21,62,6,0.018518518518518517,12
21,62,4,0.004629629629629629,3
21,119,8,0.0030864197530864196,2
21,119,10,0.007716049382716049,5
21,119,2,0.004629629629629629,3
21,142,6,0.0015432098765432098,1
21,262,9,0.012345679012345678,8
21,262,3,0.006172839506172839,4
21,262,7,0.0015432098765432098,1
21,384,3,0.0015432098765432098,1
21,384,9,0.0030864197530864196,2
21,12,5,0.010802469135802469,7
21,622,5,0.0015432098765432098,1
21,20,5,0.009259259259259259,6
21,20,4,0.0030864197530864196,2
21,20,6,0.0015432098765432098,1
21,226,5,0.0030864197530864196,2
21,226,6,0.004629629629629629,3
21,14,5,0.0030864197530864196,2
21,734,5,0.0030864197530864196,2
21,34,4,0.0015432098765432098,1
21,447,5,0.0015432098765432098,1
21,890,5,0.0015432098765432098,1
21,965,9,0.0015432098765432098,1
21,23,4,0.007716049382716049,5
21,23,6,0.0030864197530864196,2
21,874,10,0.0015432098765432098,1
21,874,8,0.0015432098765432098,1
21,133,4,0.0015432098765432098,1
21,316,5,0.0015432098765432098,1
21,408,5,0.0015432098765432098,1
21,989,5,0.009259259259259259,6
21,405,5,0.0030864197530864196,2
21,949,6,0.0015432098765432098,1
21,132,4,0.0030864197530864196,2
21,132,6,0.0030864197530864196,2
21,132,5,0.0030864197530864196,2
21,96,6,0.0015432098765432098,1
21,101,9,0.0030864197530864196,2
21,1372,5,0.0015432098765432098,1
21,1944,4,0.0015432098765432098,1
22,22,6,0.29012345679012347,141
22,22,5,0.32510288065843623,158
22,22,4,0.10699588477366255,52
22,20,5,0.02880658436213992,14
22,20,6,0.026748971193415638,13
22,20,4,0.00411522633744856,2
22,101,9,0.012345679012345678,6
22,101,3,0.00823045267489712,4
22,101,7,0.00205761316872428,1
22,205,3,0.00205761316872428,1
22,258,4,0.00411522633744856,2
22,66,6,0.0205761316872428,10
22,66,4,0.018518518518518517,9
22,66,5,0.02263374485596708,11
22,133,5,0.0102880658436214,5
22,133,6,0.00205761316872428,1
22,447,5,0.0102880658436214,5
22,447,6,0.00205761316872428,1
22,227,5,0.012345679012345678,6
22,227,6,0.00411522633744856,2
22,31,5,0.00411522633744856,2
22,31,4,0.00411522633744856,2
22,263,5,0.00411522633744856,2
22,96,6,0.00205761316872428,1
22,96,4,0.00411522633744856,2
22,874,8,0.00411522633744856,2
22,874,10,0.0102880658436214,5
22,874,2,0.00823045267489712,4
22,576,6,0.00411522633744856,2
22,18,5,0.00205761316872428,1
22,14,5,0.006172839506172839,3
22,1295,4,0.00205761316872428,1
22,1295,5,0.00205761316872428,1
22,132,6,0.006172839506172839,3
22,132,5,0.006172839506172839,3
22,1373,9,0.00205761316872428,1
22,321,5,0.00205761316872428,1
22,1612,6,0.00205761316872428,1
22,13,5,0.00205761316872428,1
22,1186,4,0.00205761316872428,1
22,965,9,0.00411522633744856,2
22,386,7,0.00205761316872428,1
23,23,6,0.38717339667458434,163
23,23,5,0.20190023752969122,85
23,23,4,0.1330166270783848,56
23,21,5,0.035629453681710214,15
23,96,5,0.030878859857482184,13
23,96,6,0.052256532066508314,22
23,96,4,0.030878859857482184,13
23,42,5,0.0023752969121140144,1
23,42,6,0.0023752969121140144,1
23,34,5,0.0166270783847981,7
23,34,4,0.011876484560570071,5
23,34,6,0.021377672209026127,9
23,62,6,0.0023752969121140144,1
23,56,6,0.0023752969121140144,1
23,1032,9,0.0023752969121140144,1
23,239,6,0.004750593824228029,2
23,239,5,0.0023752969121140144,1
23,239,4,0.0023752969121140144,1
23,1122,5,0.0023752969121140144,1
23,1242,6,0.0023752969121140144,1
23,396,6,0.0023752969121140144,1
23,1320,5,0.007125890736342043,3
23,22,5,0.011876484560570071,5
23,430,6,0.0023752969121140144,1
23,1473,7,0.004750593824228029,2
23,1473,9,0.004750593824228029,2
23,989,5,0.0023752969121140144,1
23,142,5,0.0023752969121140144,1
23,949,6,0.0023752969121140144,1
23,1708,2,0.004750593824228029,2
23,1802,2,0.0023752969121140144,1
23,386,9,0.0023752969121140144,1
23,238,6,0.0023752969121140144,1
24,24,6,0.2710843373493976,45
24,24,4,0.1144578313253012,19
24,24,5,0.10843373493975904,18
24,34,5,0.04819277108433735,8
24,34,4,0.018072289156626505,3
24,34,6,0.1144578313253012,19
24,26,6,0.10240963855421686,17
24,26,5,0.04216867469879518,7
24,26,4,0.09036144578313253,15
24,92,5,0.018072289156626505,3
24,92,6,0.006024096385542169,1
24,23,4,0.030120481927710843,5
24,23,6,0.012048192771084338,2
24,62,5,0.006024096385542169,1
24,65,5,0.006024096385542169,1
24,1209,6,0.006024096385542169,1
24,803,10,0.006024096385542169,1
25,30,4,0.3333333333333333,3
25,25,1,0.6666666666666666,6
26,32,6,0.0017825311942959,1
26,26,4,0.22459893048128343,126
26,26,5,0.1354723707664884,76
26,26,6,0.33511586452762926,188
26,24,4,0.023172905525846704,13
26,24,6,0.0427807486631016,24
26,92,6,0.0017825311942959,1
26,92,5,0.0017825311942959,1
26,23,5,0.03208556149732621,18
26,23,6,0.0677361853832442,38
26,23,4,0.030303030303030304,17
26,34,6,0.0071301247771836,4
26,34,5,0.0035650623885918,2
26,34,4,0.0053475935828877,3
26,65,5,0.024955436720142603,14
26,65,6,0.0017825311942959,1
26,162,9,0.0017825311942959,1
26,944,6,0.0017825311942959,1
26,944,5,0.0017825311942959,1
26,21,5,0.008912655971479501,5
26,1122,6,0.0017825311942959,1
26,1128,6,0.0017825311942959,1
26,175,5,0.0017825311942959,1
26,96,6,0.0017825311942959,1
26,114,10,0.0017825311942959,1
26,1549,5,0.0017825311942959,1
26,1549,6,0.0017825311942959,1
26,1605,4,0.0017825311942959,1
26,886,4,0.0017825311942959,1
26,1474,9,0.0053475935828877,3
26,1474,7,0.0017825311942959,1
26,1474,3,0.0071301247771836,4
26,142,5,0.0017825311942959,1
26,1037,2,0.0035650623885918,2
26,1531,4,0.0017825311942959,1
26,1708,10,0.0017825311942959,1
26,29,6,0.0017825311942959,1
26,29,4,0.0017825311942959,1
26,1473,3,0.0017825311942959,1
26,1242,6,0.0017825311942959,1
27,33,7,0.02702702702702703,1
27,27,4,0.35135135135135137,13
27,27,6,0.13513513513513514,5
27,27,5,0.05405405405405406,2
27,201,4,0.05405405405405406,2
27,201,6,0.05405405405405406,2
27,31,4,0.02702702702702703,1
27,413,3,0.02702702702702703,1
27,413,9,0.02702702702702703,1
27,509,4,0.05405405405405406,2
27,415,6,0.02702702702702703,1
27,417,4,0.02702702702702703,1
27,298,4,0.02702702702702703,1
27,401,4,0.02702702702702703,1
27,418,6,0.02702702702702703,1
27,418,4,0.02702702702702703,1
27,2075,4,0.02702702702702703,1
28,28,1,0.8695652173913043,20
28,25,1,0.043478260869565216,1
28,904,1,0.043478260869565216,1
28,903,7,0.043478260869565216,1
29,29,6,0.2962962962962963,8
29,29,4,0.18518518518518517,5
29,29,5,0.037037037037037035,1
29,26,6,0.037037037037037035,1
29,26,4,0.037037037037037035,1
29,949,6,0.07407407407407407,2
29,949,4,0.07407407407407407,2
29,65,5,0.037037037037037035,1
29,32,5,0.037037037037037035,1
29,32,4,0.037037037037037035,1
29,32,6,0.07407407407407407,2
29,1671,6,0.037037037037037035,1
29,1671,4,0.037037037037037035,1
30,30,4,0.6333333333333333,19
30,30,6,0.06666666666666667,2
30,27,4,0.1,3
30,300,6,0.03333333333333333,1
30,300,4,0.06666666666666667,2
30,294,4,0.03333333333333333,1
30,415,4,0.03333333333333333,1
30,903,7,0.03333333333333333,1
31,31,4,0.12853470437017994,50
31,31,6,0.2442159383033419,95
31,31,5,0.2210796915167095,86
31,19,4,0.010282776349614395,4
31,19,6,0.005141388174807198,2
31,19,5,0.002570694087403599,1
31,82,9,0.002570694087403599,1
31,92,6,0.056555269922879174,22
31,92,4,0.02313624678663239,9
31,92,5,0.05398457583547558,21
31,66,6,0.056555269922879174,22
31,66,5,0.028277634961439587,11
31,66,4,0.02570694087403599,10
31,294,5,0.017994858611825194,7
31,365,9,0.002570694087403599,1
31,365,7,0.002570694087403599,1
31,388,6,0.002570694087403599,1
31,403,6,0.005141388174807198,2
31,171,9,0.007712082262210797,3
31,62,5,0.002570694087403599,1
31,389,6,0.002570694087403599,1
31,332,9,0.002570694087403599,1
31,65,5,0.005141388174807198,2
31,65,6,0.005141388174807198,2
31,536,5,0.002570694087403599,1
31,206,6,0.002570694087403599,1
31,507,6,0.002570694087403599,1
31,252,4,0.005141388174807198,2
31,793,6,0.002570694087403599,1
31,835,5,0.005141388174807198,2
31,652,6,0.005141388174807198,2
31,218,4,0.010282776349614395,4
31,834,5,0.002570694087403599,1
31,834,4,0.002570694087403599,1
31,196,4,0.002570694087403599,1
31,196,6,0.005141388174807198,2
31,196,5,0.002570694087403599,1
31,634,5,0.002570694087403599,1
31,634,6,0.002570694087403599,1
31,402,10,0.002570694087403599,1
31,172,2,0.002570694087403599,1
31,172,10,0.002570694087403599,1
31,176,10,0.002570694087403599,1
31,763,5,0.002570694087403599,1
31,106,4,0.002570694087403599,1
31,173,2,0.002570694087403599,1
31,1155,5,0.002570694087403599,1
31,722,5,0.002570694087403599,1
31,124,5,0.002570694087403599,1
31,1546,6,0.002570694087403599,1
32,32,6,0.2777777777777778,5
32,32,4,0.16666666666666666,3
32,32,5,0.05555555555555555,1
32,29,4,0.05555555555555555,1
32,29,5,0.05555555555555555,1
32,29,6,0.1111111111111111,2
32,65,6,0.05555555555555555,1
32,26,5,0.05555555555555555,1
32,26,6,0.05555555555555555,1
32,1853,6,0.05555555555555555,1
32,24,4,0.05555555555555555,1
33,33,7,0.4,2
33,33,9,0.2,1
33,31,4,0.2,1
33,27,6,0.2,1
34,23,6,0.10526315789473684,16
34,23,4,0.03289473684210526,5
34,23,5,0.05263157894736842,8
34,34,6,0.26973684210526316,41
34,34,5,0.19736842105263158,30
34,34,4,0.1118421052631579,17
34,239,5,0.05263157894736842,8
34,239,4,0.03289473684210526,5
34,239,6,0.02631578947368421,4
34,62,6,0.006578947368421052,1
34,62,5,0.013157894736842105,2
34,321,5,0.006578947368421052,1
34,96,6,0.03289473684210526,5
34,96,4,0.006578947368421052,1
34,21,5,0.019736842105263157,3
34,1531,5,0.006578947368421052,1
34,218,6,0.006578947368421052,1
34,1997,6,0.006578947368421052,1
34,2074,6,0.006578947368421052,1
34,1039,2,0.006578947368421052,1
35,43,4,0.2,1
35,35,4,0.2,1
35,105,6,0.2,1
35,105,4,0.2,1
35,1878,5,0.2,1
36,40,6,0.18181818181818182,2
36,40,4,0.09090909090909091,1
36,107,5,0.09090909090909091,1
36,36,5,0.2727272727272727,3
36,43,4,0.09090909090909091,1
36,43,6,0.09090909090909091,1
36,46,5,0.09090909090909091,1
36,45,6,0.09090909090909091,1
37,51,5,0.004761904761904762,1
37,51,6,0.009523809523809525,2
37,77,5,0.004761904761904762,1
37,83,6,0.004761904761904762,1
37,83,5,0.02857142857142857,6
37,47,6,0.014285714285714285,3
37,37,6,0.28095238095238095,59
37,37,5,0.10952380952380952,23
37,37,4,0.0380952380952381,8
37,64,5,0.009523809523809525,2
37,201,5,0.004761904761904762,1
37,54,5,0.0380952380952381,8
37,54,4,0.04285714285714286,9
37,54,6,0.047619047619047616,10
37,238,6,0.02857142857142857,6
37,238,4,0.01904761904761905,4
37,218,6,0.0380952380952381,8
37,218,4,0.01904761904761905,4
37,218,5,0.02857142857142857,6
37,241,5,0.004761904761904762,1
37,31,5,0.004761904761904762,1
37,273,4,0.023809523809523808,5
37,273,6,0.06666666666666667,14
37,273,5,0.01904761904761905,4
37,105,6,0.023809523809523808,5
37,105,4,0.014285714285714285,3
37,105,5,0.009523809523809525,2
37,509,6,0.004761904761904762,1
37,509,4,0.004761904761904762,1
37,569,6,0.009523809523809525,2
37,399,6,0.004761904761904762,1
37,806,6,0.014285714285714285,3
37,808,6,0.009523809523809525,2
37,66,5,0.004761904761904762,1
37,240,4,0.004761904761904762,1
37,2099,5,0.004761904761904762,1
38,55,4,0.04,1
38,207,4,0.12,3
38,38,4,0.2,5
38,38,6,0.08,2
38,50,4,0.04,1
38,50,6,0.04,1
38,64,6,0.04,1
38,64,4,0.04,1
38,108,6,0.04,1
38,108,4,0.04,1
38,135,6,0.04,1
38,783,6,0.04,1
38,131,6,0.04,1
38,432,6,0.08,2
38,432,4,0.04,1
38,795,4,0.04,1
38,1074,5,0.04,1
39,39,5,0.16666666666666666,2
39,39,4,0.16666666666666666,2
39,38,6,0.08333333333333333,1
39,38,4,0.08333333333333333,1
39,423,4,0.16666666666666666,2
39,423,6,0.08333333333333333,1
39,108,4,0.08333333333333333,1
39,980,4,0.08333333333333333,1
39,502,4,0.08333333333333333,1
40,51,4,0.125,1
40,51,6,0.125,1
40,47,6,0.375,3
40,135,6,0.125,1
40,50,6,0.125,1
40,46,6,0.125,1
41,35,4,0.5,1
41,112,5,0.5,1
42,56,4,0.3333333333333333,2
42,56,5,0.3333333333333333,2
42,42,6,0.16666666666666666,1
42,23,5,0.16666666666666666,1
43,43,6,0.2885032537960954,133
43,43,4,0.14967462039045554,69
43,43,5,0.0650759219088937,30
43,45,5,0.0650759219088937,30
43,45,6,0.1648590021691974,76
43,45,4,0.08459869848156182,39
43,54,6,0.013015184381778741,6
43,54,5,0.0021691973969631237,1
43,54,4,0.006507592190889371,3
43,48,6,0.049891540130151846,23
43,48,4,0.008676789587852495,4
43,48,5,0.006507592190889371,3
43,283,4,0.0021691973969631237,1
43,37,6,0.0021691973969631237,1
43,37,4,0.0021691973969631237,1
43,110,6,0.0021691973969631237,1
43,596,4,0.0021691973969631237,1
43,105,5,0.0021691973969631237,1
43,108,6,0.0021691973969631237,1
43,108,5,0.0021691973969631237,1
43,49,5,0.008676789587852495,4
43,49,4,0.0021691973969631237,1
43,49,6,0.013015184381778741,6
43,807,4,0.0021691973969631237,1
43,46,6,0.0021691973969631237,1
43,40,6,0.0021691973969631237,1
43,40,5,0.0021691973969631237,1
43,808,6,0.004338394793926247,2
43,36,6,0.0021691973969631237,1
43,90,6,0.0021691973969631237,1
43,1394,5,0.0021691973969631237,1
43,1394,6,0.006507592190889371,3
43,1394,4,0.004338394793926247,2
43,1576,5,0.0021691973969631237,1
43,1050,6,0.0021691973969631237,1
43,1050,4,0.0021691973969631237,1
43,563,6,0.0021691973969631237,1
43,625,6,0.0021691973969631237,1
43,225,8,0.0021691973969631237,1
43,225,10,0.004338394793926247,2
43,225,2,0.004338394793926247,2
43,975,3,0.0021691973969631237,1
44,44,6,0.20454545454545456,9
44,44,4,0.09090909090909091,4
44,44,5,0.045454545454545456,2
44,42,6,0.022727272727272728,1
44,218,6,0.022727272727272728,1
44,218,5,0.022727272727272728,1
44,218,4,0.022727272727272728,1
44,289,4,0.11363636363636363,5
44,289,6,0.045454545454545456,2
44,399,5,0.045454545454545456,2
44,399,6,0.022727272727272728,1
44,433,6,0.022727272727272728,1
44,106,6,0.022727272727272728,1
44,238,6,0.06818181818181818,3
44,238,4,0.09090909090909091,4
44,889,4,0.022727272727272728,1
44,1009,4,0.022727272727272728,1
44,1364,6,0.022727272727272728,1
44,26,6,0.022727272727272728,1
44,944,6,0.022727272727272728,1
44,1757,6,0.022727272727272728,1
45,49,6,0.03345724907063197,18
45,49,4,0.013011152416356878,7
45,49,5,0.00929368029739777,5
45,45,5,0.09665427509293681,52
45,45,6,0.2825278810408922,152
45,45,4,0.13011152416356878,70
45,53,6,0.0018587360594795538,1
45,53,4,0.0018587360594795538,1
45,53,5,0.0018587360594795538,1
45,54,4,0.0724907063197026,39
45,54,5,0.06319702602230483,34
45,54,6,0.15613382899628253,84
45,37,5,0.00929368029739777,5
45,37,6,0.020446096654275093,11
45,37,4,0.0037174721189591076,2
45,64,6,0.0037174721189591076,2
45,64,5,0.0055762081784386614,3
45,90,6,0.0055762081784386614,3
45,90,5,0.01486988847583643,8
45,688,6,0.0018587360594795538,1
45,105,6,0.01486988847583643,8
45,105,5,0.0018587360594795538,1
45,283,6,0.0037174721189591076,2
45,238,6,0.0018587360594795538,1
45,238,5,0.0018587360594795538,1
45,907,2,0.0018587360594795538,1
45,808,6,0.007434944237918215,4
45,1078,6,0.0018587360594795538,1
45,284,4,0.0018587360594795538,1
45,284,5,0.0018587360594795538,1
45,284,6,0.0018587360594795538,1
45,1476,3,0.0055762081784386614,3
45,1476,7,0.0018587360594795538,1
45,806,6,0.0018587360594795538,1
45,1050,6,0.0037174721189591076,2
45,592,6,0.0037174721189591076,2
45,1714,10,0.0018587360594795538,1
45,1714,2,0.0037174721189591076,2
45,595,5,0.0018587360594795538,1
45,595,6,0.0018587360594795538,1
45,569,5,0.0018587360594795538,1
45,1475,9,0.0018587360594795538,1
45,2116,2,0.0018587360594795538,1
46,52,4,0.15384615384615385,2
46,52,6,0.23076923076923078,3
46,549,6,0.07692307692307693,1
46,46,5,0.07692307692307693,1
46,46,6,0.07692307692307693,1
46,215,5,0.07692307692307693,1
46,215,6,0.07692307692307693,1
46,1088,6,0.07692307692307693,1
46,428,6,0.07692307692307693,1
46,1343,5,0.07692307692307693,1
47,47,6,0.17391304347826086,8
47,47,5,0.06521739130434782,3
47,47,4,0.10869565217391304,5
47,52,5,0.021739130434782608,1
47,52,4,0.021739130434782608,1
47,44,6,0.06521739130434782,3
47,44,4,0.021739130434782608,1
47,131,5,0.06521739130434782,3
47,51,6,0.043478260869565216,2
47,112,6,0.06521739130434782,3
47,112,5,0.021739130434782608,1
47,112,4,0.021739130434782608,1
47,111,6,0.043478260869565216,2
47,135,5,0.021739130434782608,1
47,135,6,0.021739130434782608,1
47,238,4,0.021739130434782608,1
47,428,4,0.021739130434782608,1
47,212,6,0.021739130434782608,1
47,46,4,0.043478260869565216,2
47,46,6,0.043478260869565216,2
47,1137,6,0.021739130434782608,1
47,54,4,0.021739130434782608,1
47,54,6,0.021739130434782608,1
48,49,6,0.14814814814814814,28
48,49,4,0.047619047619047616,9
48,49,5,0.05291005291005291,10
48,48,4,0.07936507936507936,15
48,48,6,0.24867724867724866,47
48,48,5,0.10582010582010581,20
48,43,6,0.06878306878306878,13
48,43,4,0.031746031746031744,6
48,43,5,0.031746031746031744,6
48,510,5,0.005291005291005291,1
48,45,6,0.047619047619047616,9
48,45,4,0.010582010582010581,2
48,45,5,0.005291005291005291,1
48,283,6,0.005291005291005291,1
48,1078,5,0.005291005291005291,1
48,1090,6,0.005291005291005291,1
48,1090,5,0.005291005291005291,1
48,127,5,0.010582010582010581,2
48,78,5,0.005291005291005291,1
48,54,5,0.005291005291005291,1
48,54,6,0.010582010582010581,2
48,807,6,0.005291005291005291,1
48,37,4,0.010582010582010581,2
48,37,6,0.010582010582010581,2
48,37,5,0.005291005291005291,1
48,625,4,0.005291005291005291,1
48,806,4,0.005291005291005291,1
48,218,6,0.005291005291005291,1
48,1568,5,0.005291005291005291,1
48,688,5,0.005291005291005291,1
48,105,4,0.005291005291005291,1
49,45,6,0.10857142857142857,19
49,45,5,0.022857142857142857,4
49,45,4,0.06857142857142857,12
49,54,5,0.005714285714285714,1
49,54,6,0.05714285714285714,10
49,54,4,0.017142857142857144,3
49,110,4,0.005714285714285714,1
49,49,6,0.22857142857142856,40
49,49,5,0.08,14
49,49,4,0.06857142857142857,12
49,78,6,0.005714285714285714,1
49,78,5,0.011428571428571429,2
49,83,5,0.017142857142857144,3
